name,price,brand,top_notes,middle_notes,base_notes,reviews,url
FAKHAR ROSE BODY SPRAY 200ML,500/=,,"Top notes: Fruits, Pomegranate, Lily and Aldehydes.<br>
Middle notes: Tuberose, Jasmine, Gardenia, Ylang-Ylang, Honeysuckle, Rose and Peony.<br>
Base notes: Vanilla, Ambroxan, White Musk and Sandalwood.","Tuberose, Jasmine, Gardenia, Ylang-Ylang, Honeysuckle, Rose and Peony.","Vanilla, Ambroxan, White Musk and Sandalwood.",No Reviews Available,https://middleeasternscents.co.ke/product/fakhar-body-spray-200ml/
FAKHAR ROSE/ WHITE AIR FRESHNER,500/=,,"Top notes: Fruits, Pomegranate, Lily and Aldehydes.<br>
Middle notes: Tuberose, Jasmine, Gardenia, Ylang-Ylang, Honeysuckle, Rose and Peony.<br>
Base notes: Vanilla, Ambroxan, White Musk and Sandalwood.","Tuberose, Jasmine, Gardenia, Ylang-Ylang, Honeysuckle, Rose and Peony.","Vanilla, Ambroxan, White Musk and Sandalwood.",No Reviews Available,https://middleeasternscents.co.ke/product/fakhar-air-freshner/
FAKHAR THAMEEN COLLECTION 30ML,"1,400/=",LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/fakhar-thameen-collection-30ml/
FEELINGS,"1,600/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/feelings/
FIRE YOUR DESIRE,"3,200/=",,"Top notes: cognac, tonka beans;<br>
Middle notes: cinnamon, oak, vanilla;<br>
Base notes: praline, sandalwood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/fire-your-desire/
FLEUR DE ORIENTICA,"6,500/=",,"Top notes: Water Flowers, Bergamot and Tangerine.<br>
Middle notes: White Peach and Fruit Tea.<br>
Base notes: Musk, Tonka Bean and White Rose.",White Peach and Fruit Tea.,"Musk, Tonka Bean and White Rose.",No Reviews Available,https://middleeasternscents.co.ke/product/fleur-de-orientica/
FLOR OUD,"3,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/flor-oud/
FORBIDDEN LOVE (FORMERLY LOVELY CHERIE),"2,900/=",,Top notes: Bitter Almond and Rose;,"Middle notes: Cherry, Black Cherry and Amber;","Base notes: Peru Balsam, Toffee and Tonka Bean.",No Reviews Available,https://middleeasternscents.co.ke/product/forbidden-love/
FORBIDDEN SUGAR EMIR,"3,000/=",Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/forbidden-sugar-emir/
FRENCH COFFEE,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/french-coffee-2/
FRENETIC DELICIEUSE,"2,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/frenetic-delicieuse/
GHARAAM,"1,200/=",,"Top notes: Saffron and Jasmine.<br>
Middle notes: Amber.<br>
Base notes: Fir and Cedar.",Amber.,Fir and Cedar.,No Reviews Available,https://middleeasternscents.co.ke/product/gharaam-2/
GHARAAM,"7,200/=",,Saffron and Jasmine; middle note is Amber; base notes are Fir and Cedar.,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/gharaam/
GHARAM 20ML,"1,050/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/gharam-20ml/
GLOSSY,"1,700/=",MAISON ALHAMBRA,"Pear, Pink Pepper and Bergamot<br>
middle notes are Jasmine and Rose<br>
base notes are White Musk, Vanilla, Patchouli and Cedar.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/glossy/
GLOWING NIGHT,520/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/glowing-night/
GOLDEN SAND,299/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/golden-sand/
HAMSAH,"2,200/=",,Not Available,"Top note is Orange Blossom<br>
 Gardenia and Mandarin Orange<br>
Base notes are Honey, Vetiver and Rose.",Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hamsah/
HAREEM AL SULTAN 75 ML EDP SPRAY,"3,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hareem-al-sultan-75-ml-edp-spray/
HAREEM AL SULTAN GOLD,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hareem-al-sultan-gold/
HAREEM AL SULTAN GOLD OIL 100ML,"1,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hareem-al-sultan-oil-100ml/
HAWAS FOR HIM,"8,000/=",,"Top notes: Bergamot, Apple, Cinnamon and Lemon.<br>
Middle notes: Watery Notes, Plum, Orange Blossom and Cardamon.<br>
Base notes: Ambergris, Musk, Driftwood and Patchouli.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hawas-for-him/
HAYA,"3,500/=",,"Top notes: red orange, rose, champagne, tangerine, strawberry.<br>
Middle notes: jasmine, vanilla orchid, gardenia.<br>
Base notes: amber, sandalwood, chestnuts.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/haya/
HAYAATI AL MALEKY,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hayaati-al-maleky/
HAYAATI BELLE,"1,800/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hayaati-belle/
HAYAATI FLORENCE,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hayaati-florence/
HAYAATI GOLD ELIXIR,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hayaati-gold-elixir/
HAYAATI SILVER,"2,000/=",,"Top notes: Nutmeg, Pink Pepper, Ginger, &amp; Bergamot.<br>
Middle notes: Incense, Cedar, Labdanum, &amp; Woody Notes.<br>
Base notes: Amber, Musk, &amp; Ambergris.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hayaati-silver/
HAYAATIM,"2,600/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/hayaatim/
HEIBAH,"2,400/=",ARD AL ZAAFARAN,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/heibah/
HER CONFESSION,"3,800/=",,"Olfactive family: Floral Lactonic<br>
Top notes: Mystikal and Cinnamon.<br>
Middle notes: Tuberose, Mahonial, Jasmine and Incense.<br>
Base notes: Vanilla, Tonka and Musk.","Tuberose, Mahonial, Jasmine and Incense.","Vanilla, Tonka and Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/her-confession/
HIS CONFESSION,"3,800/=",,"Top notes: Cinnamon, Lavender and Mandarin.<br>
Middle notes: Iris, Benzoin, Cypress and Mahonial.<br>
Base notes: Vanilla, Tonka, Incense, Amber, Cedarwood and Patchouli.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/his-confession/
IBISCO NIRVANA,"3,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ibisco-nirvana/
III L’IMPRESSIO,"2,100/=",,"Kiwi, Rhubarb and Pink Pepper<br>
middle notes are Watermelon, Cyclamen and Jasmine<br>
base notes are Lemon Tree, Musk and Sandalwood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/iii-limpressio/
INFINI ELIXIR,"2,800/=",MAISON ALHAMBRA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/infini-elixir/
INFINI MUSK,"2,800/=",,"Top notes: Bergamot, Mandarin, Cardamom<br>
Heart notes: Jasmine, Rose, Tuberose<br>
Base notes: Musk, Vanilla, Sandalwood",Not Available,"Musk, Vanilla, Sandalwood",No Reviews Available,https://middleeasternscents.co.ke/product/infini-musk/
INFINI ROSE,"2,800/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/infini-rose/
INTOXICATE,"3,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/intoxicate/
ISHQ AL SHUYUKH GOLD,"4,500/=",,"Top notes: Caramel, Saffron.<br>
Middle notes: Tonka Bean, Suede Leather.<br>
Base notes: Amber, Vanilla, Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ishq-al-shuyukh-gold/
ISHQ AL SHUYUKH SILVER,899/=,,"Top notes: Lemon, Bergamot.<br>
Middle notes: Black Pepper, Pineapple.<br>
Base notes: Amber Wood, Cedarwood, Vanilla, Patchouli.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ishq-al-shuyukh-silver/
JASOOR,"3,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/jasoor/
JAZI,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/jazi/
JAZZAB GOLD,"2,200/=",,"Jazzab Gold fragrance by Ard Al Zaafaran is a creation dedicated to distinguished women. Despite the forbidden meeting of a black rose and a dark accord, Patchouli. Its addictive and sparkling wake reveals an intensely feminine sensuality, for a captivating moment.<br>
This enigmatic creation is a sensual and mysterious elixir with bewitching hearts of black rose wrapped in a hint of spice.<br>
Floral-oriental elixir, sensual and ardent revisiting the black rose. Moreover the top notes of Jazzab Gold consists of a bouquet of black rose as well as a slight hint of citrus. The heart note is spicy and floral with jasmine and peony. Musk and pink pepper in the base note. Amber, tonka and patchouli form the base.<br>
Top notes: Lemon, Orange, Strawberry, Raspberry;","Middle notes: floral notes, rose, cedar wood, spices;","Base notes: Amber, Oud, Vanilla, Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/jazzab-gold/
JEAN LOWE IMMORTEL,"2,800/=",,"Top notes: Grapefruit, Ginger, Bergamot",Not Available,"Base notes: Ambroxan, Amber, Labdanum",No Reviews Available,https://middleeasternscents.co.ke/product/jean-lowe-immortel/
JEAN LOWE NOIR,"2,800/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/jean-lowe-noir/
JUICY MELANGE,"2,900/=",,"Apple, Basil, Black Currant, Coconut, Nutmeg, Peach, Plum, Strawberry","Iris, Jasmine, Lily of the vally, Orchid, Rose","Ambergris, Cedarwood, Moss, Musk, Sandalwood, Tonka beans, Vanilla",No Reviews Available,https://middleeasternscents.co.ke/product/juicy-melange/
JUNOON NOIR,"7,600/=",,"Top notes: Kumquat and Lime.<br>
Middle notes: Orris, Violet, Jasmine and Lily-of-the-Valley.<br>
Base notes: Vanilla, Musk, Sandalwood and Cedar.","Orris, Violet, Jasmine and Lily-of-the-Valley.","Vanilla, Musk, Sandalwood and Cedar.",No Reviews Available,https://middleeasternscents.co.ke/product/junoon-noir/
JUST ANABI,"2,050/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/just-anabi/
JUST AZRAQ,"2,100/=",Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/just-azraq/
KAHEELA LUX,"2,700/=",,"Top notes: sweet almond , apple .<br>
Middle notes: cedar wood ,cinnamon ,hay, orris ,patchouli , rose.<br>
Base notes: ambery ,benzoin,cistus,labdanum,musk,sandalwood","cedar wood ,cinnamon ,hay, orris ,patchouli , rose.","ambery ,benzoin,cistus,labdanum,musk,sandalwood",No Reviews Available,https://middleeasternscents.co.ke/product/kaheela-lux-1/
KARUS SECRET MUSK,"3,500/=",,"Top notes	Red Fruits, Saffron<br>
Middle notes	Tonka Beans, Chocolate, Rose<br>
Base notes	Musk, Ambergris, Sugar, Moss",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/karus-secret-musk/
KASHAN,"3,800/=",,"Top notes: Clary Sage, Pepper and Orange.<br>
Middle notes: Cashmeran, Ambroxan and Raspberry.<br>
Base notes: Sandalwood, Vetiver and Musk.","Cashmeran, Ambroxan and Raspberry.","Sandalwood, Vetiver and Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/kashan/
KAYAAN CLASSIC BY AL WATANIAH,"3,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/kayaan-classic-by-al-wataniah/
KHADLAJ 25 LOYALTY,"3,600/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khadlaj-25-loyalty/
KHADLAJ 25 TRUST,"3,400/=",Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khadlaj-25-trust/
KHAIR CONFECTION,"2,700/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khair-confection/
KHAIR FUSION,"2,700/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khair-fusion/
KHAIR PISTACHIO,"2,700/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khair-pistachio/
KHALTA BLEND OF LATTAFA,"3,000/=",Unknown,"Top notes: Vanilla, Sandalwood, Amber.","Middle notes: Rose, Orange blossom, Frankincense, Cypriol.","Base notes: Bergamot, Cinnamon, Provençal lavender, Saffron.",No Reviews Available,https://middleeasternscents.co.ke/product/khalta-blend-of-lattafa/
KHALTAAT AL ARABIA ROYAL BLENDS,"2,250/=",,"Cinnamon, Pineapple","Basalmic notes, Vanilla","Amber, Coumarin, Patchouli",No Reviews Available,https://middleeasternscents.co.ke/product/khaltaat-al-arabia-royal-blends/
KHALTAAT AL ARABIA ROYAL DELIGHT,"2,250/=",,"Apple and Fruity Notes; the middle notes are Spicy Notes and Nutmeg; the base notes are Amber, Woody Notes and Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khaltaat-al-arabia-royal-delight/
KHAMRAH,"3,900/=",,"Cinnamon, Nutmeg and Bergamot; middle notes are Dates, Praline, Tuberose and Mahonial; base notes are Vanilla, Tonka Bean, Benzoin, Amberwood, Myrrh and Akigalawood.",Not Available,Not Available,"1 REVIEW FOR KHAMRAH
Rated 5 out of 5
Mugure – September 27, 2023
khamrah is a delicious scent, smells like it costs way way more than it actually does.
that nice gooey date + praline combination makes it so sensual & i just can’t stop smelling myself whenever i wear it.
tip: once you get it, spray some into the air or wherever to introduce oxygen into the bottle then allow it to macerate for around a month to truly enjoy the beauty that is khamrah.
Add a review
Your email address will not be published. Required fields are marked *
Your rating
1 2 3 4 5",https://middleeasternscents.co.ke/product/khamrah-100-ml-edp-by-lattafa/
KHAMRAH & YARA BODY SPRAY BUNDLE,850/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khamrah-yara-body-spray-bundle/
KHAMRAH AIR FRESHENER,500/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khamrah-air-freshener/
KHAMRAH BODY SPRAY,500/=,Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khamrah-body-spray/
KHAMRAH EDP + KHAMRAH BODY SPRAY COMBO,"4,750/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khamrah-edp-khamrah-body-spray/
KHAMRAH QAHWA,"3,900/=",LATTAFA,"Ginger, Cinnamon, Cardamom.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khamrah-qahwa/
KHANJAR 20ML,"1,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/khanjar/
KHASHABI,"2,400/=",,Not Available,Not Available,"<span style=""color: #000000""><br>
Lattafa perfume&nbsp;<strong>Khashabi</strong>&nbsp;Eau de Parfum – floral and woody aroma with a pleasant freshness. The top note is a new wave of bergamot and citrus. The middle notes are felt a mixture of jasmine, roses and white flowers. Base notes include wood and musk. Wonderful clean, fresh, airy, gentle floral fragrance, suitable for both men and women.</span>",No Reviews Available,https://middleeasternscents.co.ke/product/khashabi/
KISMET MAGIC PREVIOUSLY KISMET ANGEL,"3,000/=",,Not Available,"Cinnamon, Tonka Bean and Oak","Praline, Sandalwood and Vanilla",No Reviews Available,https://middleeasternscents.co.ke/product/kismet-angel/
KISMET MEN,"3,100/=",,"Woody Notes and Nutmeg; middle notes are Patchouli, Sandalwood, Cacao and Coffee; base notes are Vanilla and Vetiver.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/kismet-men/
KISMET WOMEN,"3,000/=",MAISON ALHAMBRA,"Apricot, Rose and Jasmine;",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/kismet-women/
L’AVENTURE,"6,000/=",,"Top notes: Lemon, Bergamot and elemi.<br>
Middle notes: Woody Notes, Jasmine and Lily-of-the-Valley.<br>
Base notes: Musk, Patchouli and Amber.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/laventure/
L’AVENTURE FEMME,"6,300/=",Unknown,"Top notes: Pineapple, Black Currant, Wild berries and Bergamot.","Middle notes: Cedar, Freesia and Rose.","Base notes: Musk, Sandalwood, Amber and Vanilla.",No Reviews Available,https://middleeasternscents.co.ke/product/laventure-femme/
L’ OR NOIR,"3,500/=",Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/l-or-noir/
L’INTENSE ROUGE ADDICTION,"2,300/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/lintense-rouge-addiction/
L’INTRUDE,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/lintrude/
LA AFFRICAN DRUMMER 20 ML,900/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/la-affrican-drummer-20-ml/
LA AFRICAN DRUMMER,"4,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/la-african-drummer/
LA COLLECTION D’ANTIQUITÉS 1886,"5,000/=",,"Top notes: Bergamot, Maté.","Middle notes: Bran, Cinnamon, Jasmine, Orris root, Tonka bean.","Base notes: Blond tobacco, Patchouli, Vanilla, White chocolate, White musk.",No Reviews Available,https://middleeasternscents.co.ke/product/la-collection-dantiquites-1886-2/
LA COLLECTION D’ANTIQUITÉS 1910,"5,000/=",,"Top notes: Rose, Apple, Davana.<br>
Middle notes: Osmanthus, Cedar Wood.<br>
Base notes: Tonka Bean, Vanilla, Patchouli.","Osmanthus, Cedar Wood.","Tonka Bean, Vanilla, Patchouli.",No Reviews Available,https://middleeasternscents.co.ke/product/la-collection-dantiquites-1910/
LA COLLECTION D’ ANTIQUITÈS 1886 20ML,900/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/la-collection-d-antiquites-1886-20ml/
LA VOIE,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/la-voie/
LA YUQAWAM JASMINE WISP,"1,800/=",,"Top notes: Mandarin Orange, Grapefruit and Lemon.<br>
Middle notes: Passionfruit, White Flowers, Pear, Coconut and Peach.<br>
Base notes: Vanilla, Tonka Bean and Amber.","Passionfruit, White Flowers, Pear, Coconut and Peach.","Vanilla, Tonka Bean and Amber.",No Reviews Available,https://middleeasternscents.co.ke/product/8602/
LAEQA,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/laeqa/
LAMSA,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/lamsa/
LAMSAT HARIR,"1,900/=",,"Grapes and Black Currant<br>
Middle notes are Tuberose, Heliotrope and Jasmine<br>
Base notes are Musk, Patchouli and Cedar.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/lamsat-harir/
"LATTAFA PERFUMES FAKHAR GOLD EXTRAIT, FAKHAR MEN & FAKHAR WOMEN SET","8,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/lattafa-perfumes-fakhar-gold-extrait-fakhar-men-fakhar-women-set/
LATTAFA THAMEEN THARA EDP 30ML,"1,400/=",Unknown,Not Available,Not Available,Not Available,"1 REVIEW FOR LATTAFA THAMEEN THARA EDP 30ML
Rated 3 out of 5
https://lvivforum.Pp.ua/ – September 19, 2024
Thanks for finally talking about >Lattafa Thameen Thara EDP 30ml
– Middle Easterrn Scents <Liked it! https://lvivforum.Pp.ua/
Add a review
Your email address will not be published. Required fields are marked *
Your rating
1 2 3 4 5",https://middleeasternscents.co.ke/product/lattafa-thameen-thara-edp-30ml/
LAYALI,"2,400/=",,"Plum, Black Currant and Orange Blossom<br>
Middle notes are Ylang-Ylang, Jasmine and Rose<br>
Base notes are Agarwood (Oud) and Amber.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/layali/
LE CARMINE POUR FEMME,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/le-carmine-pour-femme/
LE PARFAIT POUR FEMME,"3,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/le-parfait-pour-femme/
LE PARFAIT POUR HOMME,"3,000/=",,"Top notes: Pineapple, Black Currant, Lemon and Bergamot.<br>
Middle notes: Spicy Notes, Rose and Jasmine.<br>
Base notes: Musk, Ambergris, Vanilla and Patchouli.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/le-parfait-pour-homme/
LÉ PRESTIGE BOLD,"5,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/le-prestige-bold/
LE PRESTIGE EMPRESS,"5,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/le-prestige-empress/
LEEN,"1,000/=",LATTAFA PRIDE,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/leen/
LEEN 20ML,900/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/leen-20ml-2/
LEGESI FEMME,"3,300/=",Unknown,"Peach, Lemon, Litchi and Bergamot; middle notes are Cinnamon, Apple, Jasmine and Lily-of-the-Valley; base notes are Cedar, Sandalwood and Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/legesi-femme/
LEGESI HOMME,"3,300/=",Unknown,"Lavender, Rosemary and Petitgrain; middle notes are Sage, Jasmine, Galbanum and Rose; base notes are Cedar, Sandalwood, Musk and Oakmoss.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/legesi-homme/
LEONIE,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/libbra-2/
LIAM BLUE SHINE,"2,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/liam-blue-shine/
LIAM GREY,"2,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/liam-grey/
LONDON GIRL,520/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/london-girl/
LOVE APPLE,600/=,AL REHAB,Not Available,"Love Apple by Al-Rehab is a Floral Fruity fragrance.<br>
Top note is Green Apple;<br>
 Vanilla and Cinnamon;<br>
Base note is Musk.",Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/love-apple/
LOVE APPLE 6ML OIL,300/=,AL REHAB,Not Available,"Love Apple by Al-Rehab is a Floral Fruity fragrance.<br>
Top note is Green Apple;<br>
 Vanilla and Cinnamon;<br>
Base note is Musk.",Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/love-apple-6ml-oil/
LUJAIN,"4,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/lujain/
MAAHIR,"3,600/=",,"Top notes: Red Berries, Bergamot and Peach.<br>
Middle notes: Jasmine, Red Lily and Peony.<br>
Base notes: Sandalwood, Musk and Vanilla Flower.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/maahir/
MAAHIR BLACK EDITION,"3,600/=",,"Maahir Black Editio Lattafa Perfumes Amber Spicy fragrance for men Maahir Black Edition was launched in 2019.  Pink Pepper, Black Pepper, and Saffron; the middle notes are Labdanum, Cade oil, Rhubarb and Gurjan balsam; the base notes are Leather, Cedar, Patchouli, Musk, Guaiac Wood and Moss.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/maahir-black-edition/
MAAHIR LEGACY,"3,400/=",,"Top notes: Lime, Grapefruit, Lavender, Spearmint, Pineapple.<br>
Middle notes: Juniper Berry, Rosemary, Olibanum Resinoid, Geranium, Black Pepper.<br>
Base notes: Vetiver, Cashmeran, Ambrox, Oak Moss, Tonka Bean.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/maahir-legacy/
MAALI THAMEEN COLLECTION 30ML,"1,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/maali-thameen-collection-30ml/
MAHARJAN GOLD,"5,000/=",,"Top notes: Lavender, Pepper.<br>
Middle notes: Incense, Tuberose, Jasmine.<br>
Base notes: Caramel, Cedarwood, Amber, Cashmeran.","Incense, Jasmine, Tuberose","Amber, Caramel, cashmeran, Cedarwood",No Reviews Available,https://middleeasternscents.co.ke/product/maharjan-gold/
MALIK AL TAYOOR,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/malik-al-tayoor/
MALIKA RED,"2,550/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/malika-red/
MANGO PUNCH,"3,000/=",,"Mango, Coconut and Passionfruit; middle notes are Heliotrope, Jasmine and Orange Blossom; base notes are Vanilla, Cashmeran and Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/mango-punch/
MASA,"4,400/=",,"Top notes: Saffron, Lemon, Pink Pepper, Mango.","Middle notes: Osmanthus, Violet Leaves, Orange Blossom, Ginger.","Base notes: Amber, Mineral Accords, Patchouli, Leather.",No Reviews Available,https://middleeasternscents.co.ke/product/8036/
MAWJ APPLETINI EDP,"3,000/=",Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/mawj-appletini-edp/
MAYAR,"2,700/=",,"Top notes: Lychee, Raspberry, Violet Leaf<br>
Middle notes: Jasmine, Peony, White Rose.<br>
Base notes: Musk, Vanilla.","Jasmine, Peony, White Rose","Musk, Vanilla",No Reviews Available,https://middleeasternscents.co.ke/product/mayar/
MAYAR BODY SPRAY,500/=,LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/mayar-body-spray/
MAYAR CHERRY INTENSE,"2,700/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/mayar-cherry-intense/
MAYAR NATURAL INTENSE,"2,700/=",,"Top notes: Fig, Coconut Water, Green Tangerine, Melon.","Middle notes: Lotus, Jasmine, Water Lily.","Base notes: Musk, Sandalwood, Vanilla, Ambroxan.",No Reviews Available,https://middleeasternscents.co.ke/product/mayar-natural-intense/
MAZAAJI,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/mazaaji-100ml-edp-by-lattafa/
MERINGUE,"3,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/meringue/
METALICA,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/metalica/
MINYA,"2,800/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/minya/
MINYA COCO LUSH,"2,800/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/minya-coco-lush/
